story_id,factuality,bias,NL_grammar_mechanics_check,FOL,proof_correctness,Corrected Premises - NL,Premises - NL,Conclusions - NL,Corrected Conclusions - NL,Truth Value,"Premises 
used",Derivation,Derivation - Corrected,"Derivation 
index",Inference rule,Premises - FOL - corrected - optimized,Premises - FOL - corrected,Premises - FOL,Corrected Conclusions - FOL  - optimized,Corrected Conclusion - FOL ,Conclusion - FOL,comment on FOL,comment on Bias
0,,,CHECKED,,CHECKED,,,Tom is an Eastern wild turkey.,,F,,,,,,,"∀x (WildTurkey(x) → (EasternWildTurkey(x) ∨ OsceolaWildTurkey(x) ∨ GouldsWildTurkey(x) ∨ MerriamsWildTurkey(x) ∨ RiograndeWildTurkey(x) ∨ OcellatedWildTurkey(x)))
¬(EasternWildTurkey(tom))
¬(OsceolaWildTurkey(tom))
¬(GouldsWildTurkey(tom))
¬((MerriamsWildTurkey(tom)) ∨ ((RiograndeWildTurkey(tom)))
WildTurkey(tom)","∀x ((Wild(x) ∧ Turkey(x)) → ((Eastern(x) ∧ Wild(x)  ∧ Turkey(x)) ∨ (Osceola(x) ∧ Wild(x)  ∧ Turkey(x)) ∨ (Gould's(x) ∧ Wild(x)  ∧ Turkey(x)) ∨ (Merriam's(x) ∧ Wild(x)  ∧ Turkey(x)) ∨ (Riogrande(x) ∧ Wild(x)  ∧ Turkey(x))))
¬(Eastern(tom) ∧ Wild(x)  ∧ Turkey(x))
¬(Osceola(tom) ∧ Wild(x)  ∧ Turkey(x))
¬(Gould's(tom) ∧ Wild(x)  ∧ Turkey(x))
¬(Wild(x)  ∧ Turkey(x) ∧ Merriam's(tom))∧ (¬(Wild(x)  ∧ Turkey(x) ∧ Riogrande(tom)))
Wild(x)  ∧ Turkey(x)",,EasternWildTurkey(tom),Eastern(tom) ∧ Wild(tom)  ∧ Turkey(tom),,
,,,,,,,,,,,2,,,D1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0,,,CHECKED,,CHECKED,,"There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey.
Tom is not an Eastern wild turkey.
Tom is not an Osceola wild turkey.
Tom is not a Gould's wild turkey, 
Tom is neither a Merriam's wild turkey nor a Rio Grande wild turkey.
Tom is a wild turkey.",Joey is a wild turkey.,,U,,,,,,,"∀x (WildTurkey(x) → (EasternWildTurkey(x) ∨ OsceolaWildTurkey(x) ∨ GouldsWildTurkey(x) ∨ MerriamsWildTurkey(x) ∨ RiograndeWildTurkey(x) ∨ OcellatedWildTurkey(x)))
¬(EasternWildTurkey(tom))
¬(OsceolaWildTurkey(tom))
¬(GouldsWildTurkey(tom))
¬((MerriamsWildTurkey(tom)) ∨ ((RiograndeWildTurkey(tom)))
WildTurkey(tom)","∀x ((Wild(x) ∧ Turkey(x)) → ((Eastern(x) ∧ Wild(x)  ∧ Turkey(x)) ∨ (Osceola(x) ∧ Wild(x)  ∧ Turkey(x)) ∨ (Gould's(x) ∧ Wild(x)  ∧ Turkey(x)) ∨ (Merriam's(x) ∧ Wild(x)  ∧ Turkey(x)) ∨ (Riogrande(x) ∧ Wild(x)  ∧ Turkey(x))))
¬(Eastern(tom) ∧ Wild(x)  ∧ Turkey(x))
¬(Osceola(tom) ∧ Wild(x)  ∧ Turkey(x))
¬(Gould's(tom) ∧ Wild(x)  ∧ Turkey(x))
¬(Wild(x)  ∧ Turkey(x) ∧ Merriam's(tom))∧ (¬(Wild(x)  ∧ Turkey(x) ∧ Riogrande(tom)))
Wild(x)  ∧ Turkey(x)",,WildTurkey(joey),Wild(joey) ∧ Turkey(joey),,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,,,CHECKED,,CHECKED,,"Mary has the flu.
If someone has the flu, then they have influenza.
Susan doesn't have influenza.",Either Mary or Susan has influenza.,,T,,,,,,,"Have(mary, flu)
∀x (Have(x, flu) → Have(x, influenza))
¬Have(susan, influenza)","Have(mary, flu)
∀x (Have(x, flu) → Have(x, influenza))
¬Have(susan, influenza)",,"Have(mary, influenza) ⊕ Have(susan, influenza)","Have(mary, influenza) ⊕ Have(susan, influenza)",,
,,,,,,,,,,,"1, 2",Mary has influenza.,,D1,universal instantiation,,,,,,,,
,,,,,,,,,,,D1,Either Mary or Susan has influenza.,,D2,disjunction introduction,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2,,,CHECKED,,CHECKED,,"Billings is a city in the state of Montana in U.S.
The state of Montana includes the cities of Butte, Helena, and Missoula.
White Sulphur Springs and Butte are cities in the same state in U.S.
The city of St Pierre is not in the state of Montana.
Any city in Butte is not in St Pierre.
A city can only be in one state in U.S.  except for Bristol, Texarkana, Texhoma and Union City.",Butte and St Pierre are in the same state.,,F,,,,,,,"City(billings) ∧ In(billings, montana)
City(butte) ∧ In(butte, montana) ∧ City(helena) ∧ In(helena, montana) ∧ City(missoula) ∧ In(missoula, montana)
∃x (City(whitesulphursprings) ∧ In(whitesulphursprings, x) ∧ City(butte) ∧ In(butte, x))
City(pierre) ∧ ¬(In(pierre, montana))
∀x ((City(x) ∧ City(butte) ∧ In(x, butte)) → ¬(In(x, pierre)))
∀x ∃y ((City(x) ∧ In(x, y) ∧ ¬(x=bristol) ∧ ¬(x=texarkana) ∧ ¬(x=texhoma) ∧ ¬(x=unionCity)) → ¬∃z (¬(z=y) ∧ In(x, z)))","City(billings) ∧ In(billings, montana) ∧ State(montana)
State(montana) ∧ (City(butte) ∧ In(butte, montana)) ∧ (City(helena) ∧ In(helena, montana)) ∧ City(missoula) ∧ In(missoula, montana)
∃x (State(x) ∧ City(whitesulphursprings) ∧ In(whitesulphursprings, montana) ∧ (City(butte) ∧ In(butte, x)))
∀x (State(x) ∧ (City(pierre) ∧ In(pierre, x))  → ¬(x=montana))
∀x ((City(butte) ∧ In(butte, x)) → ¬(City(pierre) ∧ In(pierre, x)))
∀x  (∃y (State(y) ∧ (City(x) ∧ In(x, y)) ∧ ¬(y=bristol) ∧ ¬(y=texarkana) ∧ ¬(y=texhoma) ∧ ¬(y=unionCity)) → ¬(∃z (¬(z=y) ∧ State(z) ∧ (City(x) ∧ In(x, z))))",,"∃x (In(butte, x) ∧ In(stPierre, x))","∃x (State(x) ∧ (City(butte) ∧ In(butte, z)) ∧ (City(pierre) ∧ In(pierre, z)))",,
,,,,,,,,,,,2,The state of Montana includes Butte.,,D1,conjunction elimination,,,,,,,,
,,,,,,,,,,,"D1, 6",Butte is not in any state that is not Montana.,,D2,universal instantiation,,,,,,,,
,,,,,,,,,,,"D2, 4",Butte and Pierre are not in the same state.,,D3,NA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2,,,CHECKED,,CHECKED,,"Billings is a city in the state of Montana in U.S.
The state of Montana includes the cities of Butte, Helena, and Missoula.
White Sulphur Springs and Butte are cities in the same state in U.S.
The city of St Pierre is not in the state of Montana.
Any city in Butte is not in St Pierre.
A city can only be in one state in U.S.  except for Bristol, Texarkana, Texhoma and Union City.",St Pierre and Bismarck are in the same state.,,U,,,,,,,"City(billings) ∧ In(billings, montana)
City(butte) ∧ In(butte, montana) ∧ City(helena) ∧ In(helena, montana) ∧ City(missoula) ∧ In(missoula, montana)
∃x (City(whitesulphursprings) ∧ In(whitesulphursprings, x) ∧ City(butte) ∧ In(butte, x))
City(pierre) ∧ ¬(In(pierre, montana))
∀x ((City(x) ∧ City(butte) ∧ In(x, butte)) → ¬(In(x, pierre)))
∀x ∃y (((City(x) ∧ In(x, y)) ∧ ¬(x=bristol) ∧ ¬(x=texarkana) ∧ ¬(x=texhoma) ∧ ¬(x=unionCity)) → ¬∃z (¬(z=y) ∧ In(x, z)))","City(billings) ∧ In(billings, montana) ∧ State(montana)
State(montana) ∧ (City(butte) ∧ In(butte, montana)) ∧ (City(helena) ∧ In(helena, montana)) ∧ City(missoula) ∧ In(missoula, montana)
∃x (State(x) ∧ City(whitesulphursprings) ∧ In(whitesulphursprings, montana) ∧ (City(butte) ∧ In(butte, x)))
∀x (State(x) ∧ (City(pierre) ∧ In(pierre, x))  → ¬(x=montana))
∀x ((City(butte) ∧ In(butte, x)) → ¬(City(pierre) ∧ In(pierre, x)))
∀x  (∃y (State(y) ∧ (City(x) ∧ In(x, y)) ∧ ¬(y=bristol) ∧ ¬(y=texarkana) ∧ ¬(y=texhoma) ∧ ¬(y=unionCity)) → ¬(∃z (¬(z=y) ∧ State(z) ∧ (City(x) ∧ In(x, z))))",,"∃x (City(pierre) ∧ In(pierre, x) ∧ City(bismarck) ∧ In(bismarck, x))","∃x ((City(pierre) ∧ In(pierre, z)) ∧ (City(bismarck) ∧ In(bismarck, z)))",,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2,,,CHECKED,,CHECKED,,"Billings is a city in the state of Montana.
The state of Montana includes the cities of Butte, Helena, and Missoula.
White Sulphur Springs and Butte are cities in the same state.
The city of St Pierre is not in the state of Montana.
Any city in Butte is not in St Pierre.
A city can only be in one state.",Montana is home to the city of Missoula.,,T,,,,,,,"City(billings) ∧ In(billings, montana)
City(butte) ∧ In(butte, montana) ∧ City(helena) ∧ In(helena, montana) ∧ City(missoula) ∧ In(missoula, montana)
∃x (City(whitesulphursprings) ∧ In(whitesulphursprings, x) ∧ City(butte) ∧ In(butte, x))
City(pierre) ∧ ¬(In(pierre, montana))
∀x ((City(x) ∧ City(butte) ∧ In(x, butte)) → ¬(In(x, pierre)))
∀x ∃y (((City(x) ∧ In(x, y)) ∧ ¬(x=bristol) ∧ ¬(x=texarkana) ∧ ¬(x=texhoma) ∧ ¬(x=unionCity)) → ¬∃z (¬(z=y) ∧ In(x, z)))","City(billings) ∧ In(billings, montana) ∧ State(montana)
State(montana) ∧ (City(butte) ∧ In(butte, montana)) ∧ (City(helena) ∧ In(helena, montana)) ∧ City(missoula) ∧ In(missoula, montana)
∃x (State(x) ∧ City(whitesulphursprings) ∧ In(whitesulphursprings, montana) ∧ (City(butte) ∧ In(butte, x)))
∀x (State(x) ∧ (City(pierre) ∧ In(pierre, x))  → ¬(x=montana))
∀x ((City(butte) ∧ In(butte, x)) → ¬(City(pierre) ∧ In(pierre, x)))
∀x  (∃y (State(y) ∧ (City(x) ∧ In(x, y)) ∧ ¬(y=bristol) ∧ ¬(y=texarkana) ∧ ¬(y=texhoma) ∧ ¬(y=unionCity)) → ¬(∃z (¬(z=y) ∧ State(z) ∧ (City(x) ∧ In(x, z))))",,"City(missoula) ∧ In(missoula, montana)","City(missoula) ∧ In(missoula, montana)",,
,,,,,,,,,,,2,Montana includes the city of Missoula.,,D1,conjunction elimination,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3,,,CHECKED,,CHECKED,,"Fort Ticonderoga is the current name for Fort Carillon.
Pierre de Rigaud de Vaudreuil built Fort Carillon.
Fort Carillon was located in New France.
New France is not in Europe.",Pierre de Rigaud de Vaudreuil built a fort in New France.,,T,,,,,,,"RenamedAs(fortCarillon, fortTiconderoga)
Built(pierredeRigauddeVaudreuil, fortCarillon)
LocatedIn(fortCarillon, newFrance)
¬LocatedIn(newFrance, europe) ","CurrentNameFor(fortTiconderoga, fortCarillon)
Built(pierredeRigauddeVaudreuil, fortCarillon)
LocatedIn(fortCarillon, newFrance)
¬LocatedIn(newFrance, europe)",,"∃x (Built(pierredeRigauddeVaudreuil, x) ∧ LocatedIn(x, newFrance))","∃x (Built(pierrederigauddevaudreuil, x) ∧ LocatedIn(, x, newfrance))",,
,,,,,,,,,,,"2, 3",Pierre de Rigaud de Vaudreuil built Fort Carillon and Fort Carillon was in New France.,,D1,conjunction introduction,,,,,,,,
,,,,,,,,,,,D1,Pierre de Rigaud de Vaudreuil built a fort in New France.,,D2,existential introduction,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3,,,CHECKED,,CHECKED,,"Fort Ticonderoga is the current name for Fort Carillon.
Pierre de Rigaud de Vaudreuil built Fort Carillon.
Fort Carillon was located in New France.
New France is not in Europe.",Pierre de Rigaud de Vaudreuil built a fort in New England.,,U,,,,,,,"RenamedAs(fortCarillon, fortTiconderoga)
Built(pierredeRigauddeVaudreuil, fortCarillon)
LocatedIn(fortCarillon, newFrance)
¬LocatedIn(newFrance, europe) ","CurrentNameFor(fortTiconderoga, fortCarillon)
Built(pierredeRigauddeVaudreuil, fortCarillon)
LocatedIn(fortCarillon, newFrance)
¬LocatedIn(newFrance, europe)",,"∃x (Built(pierredeRigauddeVaudreuil, x) ∧ LocatedIn(x, newEngland))","∃x (Built(pierrederigauddevaudreuil, x) ∧ LocatedIn(x, newengland))",,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3,,,CHECKED,,CHECKED,,"Fort Ticonderoga is the current name for Fort Carillon.
Pierre de Rigaud de Vaudreuil built Fort Carillon.
Fort Carillon was located in New France.
New France is not in Europe.",Fort Carillon was located in Europe.,,U,,,,,,,"RenamedAs(fortCarillon, fortTiconderoga)
Built(pierredeRigauddeVaudreuil, fortCarillon)
LocatedIn(fortCarillon, newFrance)
¬LocatedIn(newFrance, europe) ","CurrentNameFor(fortTiconderoga, fortCarillon)
Built(pierredeRigauddeVaudreuil, fortCarillon)
LocatedIn(fortCarillon, newFrance)
¬LocatedIn(newFrance, europe)",,"LocatedIn(fortCarillon, europe)","LocatedIn(fortcarillon, europe)",,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4,,,CHECKED,,CHECKED,,"Sūduva Marijampolė holds the Lithuanian Super Cup.
Sūduva Marijampolė is a soccer team.",Some soccer team holds the Lithuanian Super Cup.,,T,,,,,,,"Hold(suduva, theLithuanianSuperCup)
SoccerTeam(suduva)","Hold(suduva, theLithuanianSuperCup)
SoccerTeam(suduva)",,"∃x (SoccerTeam(x) ∧ Hold(x, theLithuanianSuperCup))","∃x (SoccerTeam(x) ∧ Hold(x, theLithuanianSuperCup))",,
,,,,,,,,,,,"1, 2",Sūduva Marijampolė is a soccer team and Sūduva Marijampolė holds the Lithuanian Super Cup.,,D1,conjunction introduction,,,,,,,,
,,,,,,,,,,,D1,Some soccer team holds the Lithuanian Super Cup.,,D2,existential introduction,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5,,,CHECKED,,CHECKED,,"1. Peter Parker is a either a superhero or a civilian.
2. The Hulk is a destroyer.
3. The Hulk wakes up when he is angry.
4. If the Hulk wakes up, then he will break a bridge.
5. Thor is a god.
6. Thor will break a bridge when he is happy.
7. A god is not a destroyer.
8. Peter Parker wears a uniform when he is a superhero.
9. Peter Parker is not a civilian if a destroyer is breaking a bridge.
10. If Thor is happy, the Hulk is angry.","If the Hulk does not wake up, then Thor is not happy. ",,T,,,,,,,"Superhero(peterParker) ⊕ Civilian(peterParker)
Destroyer(theHulk)
Angry(theHulk) → WakeUp(theHulk)
WakeUp(theHulk) → Break(theHulk, bridge)
God(thor)
Happy(thor) → Break(thor, bridge)
∀x (God(x) → ¬Destroyer(x))
Superhero(peter) → Wear(peter, uniform)
∀x ((Destroyer(x) ∧ Break(x,bridge)) → ¬Civilian(peter))
Happy(thor) → Angry(theHulk)","Superhero(peterParker) ⊕ Civilian(peterParker)
Destroyer(theHulk)
Angry(theHulk) → WakeUp(theHulk)
WakeUp(theHulk) → Break(theHulk, bridge)
God(thor)
Happy(thor) → Break(thor, bridge)
∀x (God(x) → ¬Destroyer(x))
Superhero(peter) → WearUniform(peter)
∀x ((Destroyer(x) ∧ BreakBridge(x)) → ¬Civilian(peter))
Happy(thor) → Angry(theHulk)",,¬WakeUp(theHulk) → ¬Happy(thor),¬WakeUp(theHulk) → ¬Happy(thor),,
,,,,,,,,,,,"10, 3","If Thor is happy, then hulk wakes up.",,D1,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D1,"If the Hulk does not wake up, then Thor is not happy. ",,D2,transposition,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5,,,CHECKED,,CHECKED,,"1. Peter Parker is a either a superhero or a civilian.
2. The Hulk is a destroyer.
3. The Hulk wakes up when he is angry.
4. If the Hulk wakes up, then he will break a bridge.
5. Thor is a god.
6. Thor will break a bridge when he is happy.
7. A god is not a destroyer.
8. Peter Parker wears a uniform when he is a superhero.
9. Peter Parker is not a civilian if a destroyer is breaking a bridge.
10. If Thor is happy, the Hulk is angry.","If Thor is happy, then Peter Parker wears a uniform. ",,T,,,,,,,"Superhero(peterParker) ⊕ Civilian(peterParker)
Destroyer(theHulk)
Angry(theHulk) → WakeUp(theHulk)
WakeUp(theHulk) → Break(theHulk, bridge)
God(thor)
Happy(thor) → Break(thor, bridge)
∀x (God(x) → ¬Destroyer(x))
Superhero(peter) → Wear(peter, uniform)
∀x ((Destroyer(x) ∧ Break(x,bridge)) → ¬Civilian(peter))
Happy(thor) → Angry(theHulk)","Superhero(peterParker) ⊕ Civilian(peterParker)
Destroyer(theHulk)
Angry(theHulk) → WakeUp(theHulk)
WakeUp(theHulk) → Break(theHulk, bridge)
God(thor)
Happy(thor) → Break(thor, bridge)
∀x (God(x) → ¬Destroyer(x))
Superhero(peter) → WearUniform(peter)
∀x ((Destroyer(x) ∧ BreakBridge(x)) → ¬Civilian(peter))
Happy(thor) → Angry(theHulk)",,"Happy(thor) → Wear(peterParker, uniform)","Happy(thor) → Wear(peterParker, uniform)",,
,,,,,,,,,,,"10, 3","If Thor is happy, then hulk wakes up.",,D1,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,"D1, 4","If Thor is happy, then hulk will break a bridge.",,D2,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,"D2, 2","If Thor is happy, then a destroyer will break a bridge.",,D3,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,"D3, 9","If Thor is happy, then Peter Parker is not a civilian",,D4,hypothetical syllogism,,,,,,,,
,,,,,,,"Disjunctive syllogism makes some sense, but I'm not certain",,,,"D4, 1","If Thor is happy, then Peter Parker is a superhero.",,D5,NA,,,,,,,,
,,,,,,,,,,,"D5, 8","If Thor is happy, then Peter Parker wears a uniform",,D6,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5,,,CHECKED,,CHECKED,,"1. Peter Parker is a either a superhero or a civilian.
2. The Hulk is a destroyer.
3. The Hulk wakes up when he is angry.
4. If the Hulk wakes up, then he will break a bridge.
5. Thor is a god.
6. Thor will break a bridge when he is happy.
7. A god is not a destroyer.
8. Peter Parker wears a uniform when he is a superhero.
9. Peter Parker is not a civilian if a destroyer is breaking a bridge.
10. If Thor is happy, the Hulk is angry.","If Thor is not happy, then no bridge will be broken. ",,U,,,,,,,"Superhero(peterParker) ⊕ Civilian(peterParker)
Destroyer(theHulk)
Angry(theHulk) → WakeUp(theHulk)
WakeUp(theHulk) → Break(theHulk, bridge)
God(thor)
Happy(thor) → Break(thor, bridge)
∀x (God(x) → ¬Destroyer(x))
Superhero(peter) → Wear(peter, uniform)
∀x ((Destroyer(x) ∧ Break(x,bridge)) → ¬Civilian(peter))
Happy(thor) → Angry(theHulk)","Superhero(peterParker) ⊕ Civilian(peterParker)
Destroyer(theHulk)
Angry(theHulk) → WakeUp(theHulk)
WakeUp(theHulk) → Break(theHulk, bridge)
God(thor)
Happy(thor) → Break(thor, bridge)
∀x (God(x) → ¬Destroyer(x))
Superhero(peter) → WearUniform(peter)
∀x ((Destroyer(x) ∧ BreakBridge(x)) → ¬Civilian(peter))
Happy(thor) → Angry(theHulk)",,,"¬Happy(thor) → ¬Break(thor, bridge)",,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
