story_id,Truth Value,Premises used,Derivation,Derivation - Corrected,Derivation index,Inference rule
,,,,,,
4,T,,,,,
,,"1, 2",Sūduva Marijampolė is a soccer team and Sūduva Marijampolė holds the Lithuanian Super Cup.,,D1,conjunction introduction
,,D1,Some soccer team holds the Lithuanian Super Cup.,,D2,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5,T,,,,,
,,"10, 3","If Thor is happy, then hulk wakes up.",,D1,hypothetical syllogism
,,D1,"If the Hulk does not wake up, then Thor is not happy. ",,D2,transposition
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5,T,,,,,
,,"10, 3","If Thor is happy, then hulk wakes up.",,D1,hypothetical syllogism
,,"D1, 4","If Thor is happy, then hulk will break a bridge.",,D2,hypothetical syllogism
,,"D2, 2","If Thor is happy, then a destroyer will break a bridge.",,D3,hypothetical syllogism
,,"D3, 9","If Thor is happy, then Peter Parker is not a civilian",,D4,hypothetical syllogism
,,"D4, 1","If Thor is happy, then Peter Parker is a superhero.",,D5,NA
,,"D5, 8","If Thor is happy, then Peter Parker wears a uniform",,D6,hypothetical syllogism
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6,T,,,,,
,,"2, 3",The preceding station of Dommartin is Boves and the preceding station of Boves is Longueau.,,D1,conjunction introduction
,,"D1, 9",Dommartin precedes Longueau.,,D2,modus ponens
,,"D2, 5",Dommartin precedes Longueau and is situated on the Paris–Lille railway.,,D3,conjunction introduction
,,"D3, 6",Longueau is situated on the Paris–Lille railway.,,D4,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6,F,,,,,
,,1,Boves is located in France.,,D1,conjunction elimination
,,"4, D1","Boves is located in France, and France is located in Europe.",,D2,conjunction introduction
,,"8, D2",Boves is a European country.,,D3,modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7,T,,,,,
,,"5,2 ",Eight is larger than seven. ,,D1,modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7,T,,,,,
,,"6, 7",The double of two is positive.,,D1,modus ponens
,,"D1, 9",Four is positive.,,D2,universal instantiation
,,"D2, 7",The double of four is positive.,,D3,modus ponens
,,"D3, 8",Eight is positive.,,D4,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7,F,,,,,
,,"4,2 ",Seven is larger than six. ,,D1,modus ponens
,,"D1, 3",Six is not larger than seven.,,D2,modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
8,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
8,T,,,,,
,,1,Miroslav Venhoda was a Czech.,,D1,conjunction elimination
,,8,Miroslav Venhoda published a book in 1946.,,D2,conjunction elimination
,,"D1, D2","Miroslav Venhoda, who was a Czech, published a book in 1946.",,D3,conjunction introduction
,,D3,A Czech published a book in 1946.,,D4,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
8,F,,,,,
,,1,Miroslav Venhoda was a choral conductor and Miroslav Venhoda specialized in the performance of Renaissance music.,,D1,conjunction elimination
,,D1,No choral conductor specialized in the performance of Renaissance.,,D2,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
9,T,,,,,
,,1,Taiga vole is a vole.,,D1,conjunction elimination
,,"D1, 2",Cats like playing with taiga vole.,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
9,F,,,,,
,,1,Taiga vole is found in North America.,,D1,conjunction elimination
,,"3, D1",Taiga vole is found in North America and lives in the boreal taiga zone. ,,D2,conjunction introduction
,,"D2, 4",Taiga vole's lives in a cold place.,,D3,modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
10,T,,,,,
,,1,Thick as Thieves is written by Megan Whalen Turner.,,D1,conjunction elimination
,,"D1, 2",Thick as Thieves is written by Megan Whalen Turner and was published by Greenwillow Books.,,D2,conjunction introduction
,,"D2, 3",Megan Whalen Turner worked with Greenwillow Books.,,D3,modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
10,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
10,F,,,,,
,,4,The Mede Empire is where Thick as Thieves is set.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
10,F,,,,,
,,1,Thick as Thieves is written by Megan Whalen Turner.,,D1,conjunction elimination
,,"D1, 2",Thick as Thieves is written by Megan Whalen Turner and was published by Greenwillow Books.,,D2,conjunction introduction
,,"D2, 3",Megan Whalen Turner worked with Greenwillow Books.,,D3,modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
11,T,,,,,
,,2,Walter Folger Brown graduated with a Bachelors of Arts.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
11,T,,,,,
,,3,Walter Folger Brown's father was in Toledo.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
11,F,,,,,
,,3,Walter Folger Brown was in Toledo.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
12,T,,,,,
,,"3, 4",Water from the Croton River watershed flows to somewhere in New York.,,D1,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
12,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
12,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
13,T,,,,,
,,"2, 3","Steve Hillage and Miquette Giraudy, rormer members of the band Gong, formed System 7.",,D1,conjunction introduction
,,D1,Former members of the band Gong formed System 7.,,D1,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
13,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
13,F,,,,,
,,1,System 7 is a band.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
14,T,,,,,
,,"3,4",The USS Salem is open to the public.,,D1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
14,T,,,,,
,,"3, 4",The USS Salem is open to the public.,,D1,universal instantiation
,,"D1, 3",The USS Salem is a museum ship and open to the public.,,D2,conjunction introduction
,,5,The USS Salem served in the Mediterranean.,,D3,conjunction elimination
,,"D2, D3","The USS Salem is a museum ship, open to the public and served in the Mediterranean.",,D4,conjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
14,F,,,,,
,,2,The USS Salem was the last heavy cruiser to enter service.,,D1,None
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
15,T,,,,,
,,2,Elephantopus is widespread over much of southern Asia and Australia.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
15,F,,,,,
,,3,Several species of Elephantopus are native to the southeastern United States.,,D1,None
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
15,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
16,T,,,,,
,,2,Dagfinn Aarskog is a notable person.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
16,T,,,,,
,,2,Dagfinn is Dagfinn Aarskog's given name.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
16,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
17,T,,,,,
,,3,Jack Odell is a notable person.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
17,T,,,,,
,,3,Odell is Amy Odell's surname.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
17,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
17,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
18,T,,,,,
,,"3, 4",Miroslav Fiedler is honored by the second smallest eigenvalue of the graph Laplacian.,,D1,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
18,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
18,T,,,,,
,,"1, 2","Miroslav Fiedler, a Czech mathematician, is known for his contributions to linear algebra and graph theory.",,D1,conjunction introduction
,,D1,A Czech mathematician is known for his contributions to linear algebra and graph theory.,,D2,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
19,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
19,T,,,,,
,,3,Thomas Barber played as an inside left.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
19,T,,,,,
,,"1, 4","Thomas Barber, an English professional footballer scored the winning goal in the 1913 FA Cup Final.",,D1,conjunction introduction
,,D1,An English professional footballer scored the winning goal in the 1913 FA Cup Final.,,D1,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
20,T,,,,,
,,"3,4",The Legend of Zelda is in the Top 10 list.,,D1,modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
20,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
20,F,,,,,
,,"3,4",The Legend of Zelda is in the Top 10 list.,,D1,modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
21,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
21,T,,,,,
,,"4, 6",Boston Celtics attended NBA finals,,D1,universal instantiation
,,"D1, 3",Boston Celtics has won many games,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
21,T,,,,,
,,1,The Golden State is a team,,D1,Conjunction Elimination
,,"D1, 2",The Golden State is a team that wins the NBA finals,,D2,Conjunction Introduction
,,"D2, 5",The Golden State will have more income,,D3,Universal Instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
22,F,,,,,
,,"1, 5",James can watch 3 movies every week without any additional fees.,,D1,Universal Instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
22,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
22,T,,,,,
,,"3, 6",Peter will not watch TV series in cinemas.,,D1,Universal Instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
23,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
23,T,,,,,
,,4,The Three Body Problem is a book,,D1,conjunction elimination
,,"D1,5",The book the Three Body Problem is about the future.,,D2,conjunction introduction
,,"3, D2",The Three Body Problem is forward looking.,,D3,Universal Instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
23,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
24,T,,,,,
,,"2, 5",2Sum is a Leetcode problem with an easy level. ,,D1,Universal Instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
24,F,,,,,
,,"4, 6",4Sum is hard,,D1,universal instantiation
,,"D1, 3",4Sum is not easy,,D2,Exclusive Disjunction
,,"D2, 2",4Sum is not a Leetcode problem recommended to the novice. ,,D3,modus tollens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
24,F,,,,,
,,"2, 5",2Sum is a Leetcode problem with an easy level. ,,D1,Universal Instantiation
,,"D1, 1",2Sum has an AC rate lower than 20 percent.,,D2,Universal Instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
25(XOR),T,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
25,F,,,,,
,,3,Mort is not a background material.,,D1,Conjunction Elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
25,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
26,T,,,,,
,,"2, 3",Platypuses are mammals with no teeth.  ,,D1,Conjunction Introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
26,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
26,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
27,T,,,,,
,,1,Xiangshan and Diecai are districts in the City of Guilin.,,D1,conjunction elimination
,,D1,Xiangshan and Diecai are districts in the same city. ,,D2,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
27,T,,,,,
,,1,Xiufeng is a district in Guilin. ,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
27,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
28,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
28,T,,,,,
,,1,Jason Kramer is a music supervisor,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
28,T,,,,,
,,"3, 5",Jason Kramer is a radio personality.,,D1,Universal Instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
29,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
29,F,,,,,
,,1,Gastern is a village,,D1,Conjunction Elimination
,,3,"If somewhere is village, then it's not city",,D2,transposition
,,"D1, D2",Gastern is not a city,,D2,Universal Instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
29,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
30,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
30,F,,,,,
,,"5, 6",EndGame was directed by Andy Chang who is from Hong Kong,,D1,Conjunction Introduction
,,D1,EndGame was directed by someone who is from Hong Kong,,D2,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
30,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
31,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
31,T,,,,,
,,1,Justin Kruger proposed naive cynicism,,D1,conjunction elimination
,,"3,D1","Justin Kruger proposed naive cynicism, which is a philosophy of mind",,D2,conjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
31,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
32,T,,,,,
,,"1,2",Hugh Vanstone is one of the world's leading lighting designers and from the uk,,D1,Conjunction Introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
32,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
32,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
33,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
33,T,,,,,
,,"2,3",Joseph Kmak played in the MLB.,,D1,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
33,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
34,F,,,,,
,,1,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
34,T,,,,,
,,"3,4",Nadal is in the Big 3,,D1,Universal Instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
34,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
35,T,,,,,
,,"2,3",Carlos Reyes trains for an Olympic sport and goes to the Olympics,,D1,Conjunction Introduction
,,"1,D1",Carlos Reyes is an Olympian,,D2,Universal Instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
35,F,,,,,
,,"4,5",Carlos Reyes is not a heavy weight,,D1,Universal Instantation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
35,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
36,T,,,,,
,,"1,3",A rapper released the Well Done 3 album,,D1,universal instantiation
,,"2, D1",Well Done 3 is a rap album,,D2,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
36,F,,,,,
,,"1,4",Tyga is not an opera singer,,D1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
36,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
37,T,,,,,
,,"1,2",The Harry Potter series is a hepatology.,,D1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
37,F,,,,,
,,"1, 3",The Chronicles of Narnia series is a hepatology,,D1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
37,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
38,T,,,,,
,,"1,4",The Metropolitan Museum of Art is a museum in NYC and includes Byzantine and Islamic Art,,D1,conjunction introduction
,,D1,There is a museum in NYC that includes Byzantine and Islamic art,,D2,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
38,T,,,,,
,,"2,5",The Whitney Museum of American Art is a museum in NYC that included American Art,,D1,conjunction introduction
,,D1,There is a museum in NYC that includes American Art,,D2,existential generalization
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
38,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
39,T,,,,,
,,"2,3","""Your Woman"" was extremely popular",,D1,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
39,F,,,,,
,,"2,3","""Your Woman"" was extremely popular",,D1,universal instantiation
,,"1, D1","White Town produced an extremely popular Song called ""Your Woman"".",,D2,conjunction introduction
,,D2,White Town produced a popular Song,,D3,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
39,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
40,T,,,,,
,,5,Hailee is a military officer,,D1,conjunction elimination
,,5,Hailee has a good sense of direction,,D2,conjunction elimination
,,"4, D1",Hailee is fit,,D3,universal instantiation and modus ponens
,,"2, D3",Hailee can run far,,D4,universal instantiation and modus ponens
,,"3, D2",Hailee can use a map,,D5,universal instantiation and modus ponens
,,"D4, D5",Hailee can run far and use a map,,D6,conjunction introduction
,,"1, D6",Hailee can participate in orienteering,,D7,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
40,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
41,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
41,T,,,,,
,,1,Lorca was a talented Spanish poet.,,D1,conjunction elimination
,,1,Lorca supported the Popular Front.,,D2,conjunction elimination
,,"D1, 3",Lorca was popular.,,D3,universal instantiation
,,"D2, 2",The Spanish Nationalists opposed Lorca.,,D4,universal instantiation
